$Trinity Lake spillway release year 2016 YC 08/25/22,
",,,",
Jday,TRN / Spill Flow / Spill Release - cms
60.917,0.0283
60.958,0.0283
61,0.0283
61.042,0.0283
61.083,0.0283
61.125,0.0283
61.167,0.0283
61.208,0.0283
61.25,0.0283
61.292,0.0283
61.333,0.0283
61.375,0.0283
61.417,0.0283
61.458,0.0283
61.5,0.0283
61.542,0.0283
61.583,0.0283
61.625,0.0283
61.667,0.0283
61.708,0.0283
61.75,0.0283
61.792,0.0283
61.833,0.0283
61.875,0.0283
61.917,0.0283
61.958,0.0283
62,0.0283
62.042,0.0283
62.083,0.0283
62.125,0.0283
62.167,0.0283
62.208,0.0283
62.25,0.0283
62.292,0.0283
62.333,0.0283
62.375,0.0283
62.417,0.0283
62.458,0.0283
62.5,0.0283
62.542,0.0283
62.583,0.0283
62.625,0.0283
62.667,0.0283
62.708,0.0283
62.75,0.0283
62.792,0.0283
62.833,0.0283
62.875,0.0283
62.917,0.0283
62.958,0.0283
63,0.0283
63.042,0.0283
63.083,0.0283
63.125,0.0283
63.167,0.0283
63.208,0.0283
63.25,0.0283
63.292,0.0283
63.333,0.0283
63.375,0.0283
63.417,0.0283
63.458,0.0283
63.5,0.0283
63.542,0.0283
63.583,0.0283
63.625,0.0283
63.667,0.0283
63.708,0.0283
63.75,0.0283
63.792,0.0283
63.833,0.0283
63.875,0.0283
63.917,0.0283
63.958,0.0283
64,0.0283
64.042,0.0283
64.083,0.0283
64.125,0.0283
64.167,0.0283
64.208,0.0283
64.25,0.0283
64.292,0.0283
64.333,0.0283
64.375,0.0283
64.417,0.0283
64.458,0.0283
64.5,0.0283
64.542,0.0283
64.583,0.0283
64.625,0.0283
64.667,0.0283
64.708,0.0283
64.75,0.0283
64.792,0.0283
64.833,0.0283
64.875,0.0283
64.917,0.0283
64.958,0.0283
65,0.0283
65.042,0.0283
