$Trinity Lake qdt year 2016 YC 08/25/22,
",,,",
JDAY,qdt
37.292,60.75764492
37.333,0.481644918
37.375,0.481644918
37.417,-2.570355082
37.458,5.288644918
37.5,94.21064492
37.542,-8.978355082
37.583,0.481644918
37.625,-56.89235508
37.667,28.71364492
37.708,-5.244355082
37.75,45.09164492
37.792,0.481644918
37.833,37.85164492
37.875,-12.02835508
37.917,63.61964492
37.958,-44.13935508
38,7.249060403
38.042,-26.8059396
38.083,56.2920604
38.125,-60.2079396
38.167,78.3380604
38.208,-10.8599396
38.25,19.9890604
38.292,48.3230604
38.333,-24.0279396
38.375,-1.028939597
38.417,-37.8969396
38.458,40.8750604
38.5,86.7690604
38.542,-15.8799396
38.583,-1.028939597
38.625,-61.8349396
38.667,34.5690604
38.708,-1.028939597
38.75,-8.768939597
38.792,43.3370604
38.833,39.6840604
38.875,65.7010604
38.917,-10.9249396
38.958,1.253060403
39,49.79554859
39.042,-43.43445141
39.083,0.248548589
39.125,41.22454859
39.167,-22.35745141
39.208,13.99254859
39.25,-52.98445141
39.292,81.36454859
39.333,17.84354859
39.375,45.07154859
39.417,-27.22745141
39.458,0.248548589
39.5,27.65954859
39.542,-3.084451411
39.583,0.248548589
39.625,11.28654859
39.667,0.248548589
39.708,17.98754859
39.75,66.97554859
39.792,0.248548589
39.833,40.18154859
39.875,37.16554859
39.917,51.97054859
39.958,-26.77345141
40,-7.812395875
40.042,35.76060413
40.083,39.22460413
40.125,4.19960413
40.167,25.49460413
40.208,21.67160413
40.25,38.45460413
40.292,-16.53339588
40.333,-7.812395875
40.375,-7.812395875
40.417,34.09660413
40.458,28.68160413
40.5,33.97360413
40.542,36.30760413
40.583,24.44860413
40.625,-59.31339588
40.667,-7.812395875
40.708,-60.56039588
40.75,27.55960413
40.792,76.99360413
40.833,-15.49839588
40.875,-7.812395875
40.917,-0.622395875
40.958,28.87560413
41,27.91890822
41.042,-31.78309178
41.083,-12.93209178
41.125,4.75390822
41.167,42.37790822
41.208,27.84690822
41.25,22.06790822
41.292,17.21290822
41.333,12.60390822
41.375,13.20890822
41.417,35.45090822
41.458,24.97890822
41.5,18.39290822
41.542,28.51390822
41.583,12.82690822
41.625,8.41290822
41.667,-12.93209178
41.708,-87.3090918
41.75,15.02390822
41.792,-38.24609178
41.833,40.30090822
41.875,-57.40309178
41.917,-0.96409178
41.958,42.41390822
42,-32.17752819
42.042,0.587471807
42.083,-40.87952819
42.125,22.23547181
42.167,50.70447181
42.208,26.95747181
42.25,26.49847181
42.292,-4.065528193
42.333,0.587471807
42.375,-19.36352819
42.417,16.05847181
42.458,99.57847181
42.5,0.587471807
42.542,-0.71352819
42.583,46.55747181
42.625,65.12747181
42.667,-64.27752819
42.708,3.476471807
42.75,45.69747181
42.792,-33.64152819
42.833,63.56747181
42.875,49.00247181
42.917,40.90047181
42.958,10.54947181
43,11.14899743
43.042,24.44699743
43.083,2.41199743
43.125,8.213997432
43.167,23.48299743
43.208,9.60099743
43.25,14.78099743
43.292,26.78099743
43.333,-0.793002568
43.375,1.116997432
43.417,76.06999743
43.458,51.14399743
43.5,47.06399743
43.542,-13.00900257
43.583,-0.793002568
43.625,-18.32400257
43.667,29.98699743
43.708,88.14099743
43.75,-0.793002568
43.792,-55.29400257
43.833,20.87299743
43.875,116.8889974
43.917,80.49599743
43.958,-6.030002568
44,-7.43646567
44.042,52.00053433
44.083,-25.77146568
44.125,1.323534325
44.167,71.95053433
44.208,47.98053433
44.25,60.76453433
44.292,-7.622465675
44.333,-16.49246568
44.375,-1.715465675
44.417,1.10553432
44.458,26.87653433
44.5,22.48753433
44.542,88.00453433
44.583,12.68553432
44.625,15.13953433
44.667,11.79253433
44.708,31.16453433
44.75,-1.715465675
44.792,-1.715465675
44.833,-1.715465675
44.875,7.182534325
44.917,87.24353433
44.958,-36.24546568
45,41.81062532
45.042,91.10062532
45.083,-17.30337468
45.125,0.047625321
45.167,50.62662532
45.208,-9.062374679
45.25,0.047625321
45.292,69.80462532
45.333,22.57562532
45.375,-31.43337468
45.417,0.047625321
45.458,27.88862532
45.5,52.74862532
45.542,16.01262532
45.583,2.09362532
45.625,5.50662532
45.667,42.10462532
45.708,10.63562532
45.75,68.40362532
45.792,-28.34337468
45.833,14.02862532
45.875,-2.52637468
45.917,12.92862532
45.958,163.0406253
46,74.54764763
46.042,-34.57935237
46.083,-14.47135237
46.125,-41.24835237
46.167,111.6296476
46.208,56.60364763
46.25,-17.58335237
46.292,75.04864763
46.333,0.845647626
46.375,-28.85635237
46.417,84.52464763
46.458,29.15964763
46.5,-14.02435237
46.542,106.0286476
46.583,-6.691352374
46.625,-53.86035237
46.667,92.61664763
46.708,0.845647626
46.75,75.51564763
46.792,-98.00935237
46.833,26.88164763
46.875,79.17264763
46.917,34.92664763
46.958,13.42564763
47,2.48766096
47.042,41.35566096
47.083,-0.382339042
47.125,56.88566096
47.167,13.28766096
47.208,24.70366096
47.25,88.00466096
47.292,-12.33533904
47.333,56.31966096
47.375,50.19566096
47.417,-5.438339042
47.458,-1.032339042
47.5,-8.708339042
47.542,19.57966096
47.583,-0.382339042
47.625,53.17066096
47.667,29.55766096
47.708,20.04466096
47.75,38.89066096
47.792,59.20866096
47.833,34.57566096
47.875,14.69066096
47.917,49.46966096
47.958,-13.00233904
48,-28.7660981
48.042,-50.2740981
48.083,-69.5590981
48.125,-56.3260981
48.167,-71.4070981
48.208,14.9479019
48.25,-29.3680981
48.292,-22.9960981
48.333,-64.1940981
48.375,-54.9470981
48.417,-40.1190981
48.458,-76.7370981
48.5,50.9509019
48.542,-35.5900981
48.583,-85.9770981
48.625,33.9789019
48.667,80.8949019
48.708,57.3709019
48.75,180.5419019
48.792,174.1089019
48.833,123.2779019
48.875,194.7379019
48.917,216.3159019
48.958,246.7899019
49,243.5371593
49.042,77.7441593
49.083,130.2291593
49.125,111.6231593
49.167,101.2221593
49.208,179.5261593
49.25,132.0591593
49.292,50.71715933
49.333,47.58515933
49.375,79.96115933
49.417,50.69315933
49.458,49.04815933
49.5,93.29715933
49.542,4.70315933
49.583,-100.1458407
49.625,70.76815933
49.667,55.67515933
49.708,17.31815933
49.75,-65.56184067
49.792,0.913159332
49.833,27.59815933
49.875,-29.49184067
49.917,-43.33284067
49.958,27.57715933
50,107.7348402
50.042,68.43684022
50.083,-35.40715978
50.125,0.073840218
50.167,67.61684022
50.208,66.99884022
50.25,59.39584022
50.292,73.98584022
50.333,34.77984022
50.375,14.76984022
50.417,-12.35115978
50.458,48.61984022
50.5,70.55384022
50.542,-1.01915978
50.583,28.11084022
50.625,55.65984022
50.667,16.00884022
50.708,52.85284022
50.75,131.6818402
50.792,-66.24615978
50.833,-30.31415978
50.875,76.33484022
50.917,0.073840218
50.958,28.11584022
51,0.063254049
51.042,144.5862541
51.083,-17.69374595
51.125,59.85625405
51.167,-34.93874595
51.208,115.8602541
51.25,-1.454745951
51.292,95.18725405
51.333,34.13725405
51.375,-13.00574595
51.417,50.51625405
51.458,43.62025405
51.5,-47.97274595
51.542,96.55825405
51.583,-16.90074595
51.625,-27.57374595
51.667,21.84725405
51.708,46.39425405
51.75,62.23325405
51.792,-14.23274595
51.833,0.063254049
51.875,31.25425405
51.917,-0.51774595
51.958,23.05325405
52,71.79892067
52.042,92.36492067
52.083,-34.03907933
52.125,9.87892067
52.167,11.20692067
52.208,28.40492067
52.25,13.93692067
52.292,37.70092067
52.333,-0.577079329
52.375,22.49792067
52.417,29.90692067
52.458,94.32792067
52.5,4.408920671
52.542,22.29892067
52.583,14.27492067
52.625,8.613920671
52.667,35.10592067
52.708,-0.577079329
52.75,-0.577079329
52.792,81.61092067
52.833,27.97692067
52.875,11.81492067
52.917,20.23292067
52.958,24.48692067
53,31.09466314
53.042,23.78766314
53.083,28.34766314
53.125,2.985663138
53.167,39.37566314
53.208,21.28766314
53.25,29.06266314
53.292,-0.825336862
53.333,-61.04233686
53.375,27.55566314
53.417,56.71866314
53.458,14.21366314
53.5,35.70266314
53.542,23.11966314
53.583,14.52566314
53.625,4.970663138
53.667,49.30566314
53.708,-12.47133686
53.75,-0.288336862
53.792,31.71066314
53.833,-42.63433686
53.875,19.38466314
53.917,-0.288336862
53.958,63.79866314
54,29.71828886
54.042,22.08128886
54.083,18.45628886
54.125,17.85028886
54.167,-2.556711136
54.208,-0.641711136
54.25,6.694288864
54.292,35.74928886
54.333,35.41228886
54.375,14.86728886
54.417,109.2552889
54.458,37.86728886
54.5,47.62728886
54.542,-13.60971114
54.583,-0.641711136
54.625,-0.641711136
54.667,-4.40171114
54.708,2.395288864
54.75,-0.641711136
54.792,-0.641711136
54.833,-11.84071114
54.875,78.50628886
54.917,-0.641711136
54.958,74.05028886
55,22.11744455
55.042,39.81244455
55.083,-28.68955545
55.125,0.005444549
55.167,20.39644455
55.208,63.33244455
55.25,-12.04855545
55.292,-52.98555545
55.333,17.09744455
55.375,0.005444549
55.417,56.47344455
55.458,0.005444549
55.5,34.75944455
55.542,98.64844455
55.583,-32.87755545
55.625,2.585444549
55.667,46.42844455
55.708,53.71644455
55.75,-21.42055545
55.792,0.005444549
55.833,11.41344455
55.875,29.86244455
55.917,51.17844455
55.958,-12.38955545
56,-0.693541457
56.042,21.62045854
56.083,-10.60654146
56.125,-0.693541457
56.167,42.99745854
56.208,-0.693541457
56.25,-0.693541457
56.292,20.19545854
56.333,51.35745854
56.375,-28.62254146
56.417,-0.693541457
56.458,12.74445854
56.5,-0.693541457
56.542,-0.693541457
56.583,50.24945854
56.625,-10.13154146
56.667,8.442458543
56.708,-0.693541457
56.75,-0.693541457
56.792,-0.693541457
56.833,125.9274585
56.875,-4.202541457
56.917,23.41945854
56.958,52.95845854
57,-48.33494298
57.042,2.662057025
57.083,57.78505703
57.125,31.29005703
57.167,-17.18794298
57.208,0.273057025
57.25,42.75505703
