View Results:,Shasta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,Beginning Page
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,,,,,,,,,,,,,
DELTA,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Banks,,0,0,0,0,11,11,11,0,0,0,0,0,,,,,,,,,,,,,
Contra Costa,,12.7,12.7,12.7,9.8,11.1,12.7,14.0,16.8,18.4,18.3,14.0,14.0,,,,,,,,,,,,,
Tracy,,200,48,49,40,111,190,252,265,254,260,195,185,,,,,,,,,,,,,
Total Federal Exports,,213,60,62,50,133,214,277,282,272,278,209,199,,,,,,,,,,,,,
State Banks Pumping,,200,42,43,80,66,52,135,195,229,260,195,185,,,,,,,,,,,,,
Total Exports ,,413,102,105,130,199,266,412,477,501,538,404,384,,,,,,,,,,,,,
USBR Monthly COA Account,,0.0,-28.0,-67.1,51.0,44.0,0.0,87.3,25.5,-0.8,0.0,0.0,0.0,,,,,,,,,,,,,
Accumulated COA,,0.0,-28.0,-95.1,-44.1,-0.1,-0.1,87.2,112.7,111.9,111.9,111.9,111.9,,,,,,,,,,,,,
Computed Delta Outflow (NDOI),,986,653,473,446,307,224,179,246,268,446,826,"1,028",,,,,,,,,,,,,
Excess Outflow (EO),,532,0,0,0,0,9,0,0,0,169,549,395,,,,,,,,,,,,,
Freeport Flow (FF) cfs,,"20,411","10,688","7,600","11,379","11,431","10,773","11,445","11,269","12,052","14,310","17,352","22,515",,,,,,,,,,,,,
X-channel Gates,,closed,closed,closed,open,open,open,open,open,open,closed,closed,closed,,,,,,,,,,,,,
% Inflow Diverted,,29%,11%,14%,16%,25%,35%,54%,57%,60%,53%,33%,27%,,,,,,,,,,,,,
% Inflow Diverted Std,,35%,35%,35%,35%,65%,65%,65%,65%,65%,65%,65%,45%,,,,,,,,,,,,,
X2 Location (km from GG),,73.2,74.9,78.2,79.4,83.0,86.5,89.2,87.9,86.5,82.4,76.4,71.9,,,,,,,,,,,,,
X2 location Std.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
