 Branch:,           1 , # of structures:,           1 , outlet temperatures
      JDAY,      T(C),   Q(m3/s),    ELEVCL,
   19.5983,      8.10,     13.42,    327.66,
   19.6399,      8.10,     14.49,    327.66,
   19.6819,      8.10,     17.41,    327.66,
   19.7233,      8.10,     20.12,    327.66,
   19.7654,      8.10,     18.89,    327.66,
   19.8072,      8.11,     22.32,    327.66,
   19.8488,      8.12,     52.07,    327.66,
   19.8902,      8.12,     45.63,    327.66,
   19.9318,      8.12,     58.56,    327.66,
   19.9739,      8.11,      7.06,    327.66,
   20.0155,      8.11,      3.64,    327.66,
   20.0575,      8.12,     15.65,    327.66,
   20.0990,      8.12,     13.81,    327.66,
   20.1410,      8.12,     13.84,    327.66,
   20.1822,      8.12,     14.91,    327.66,
   20.2241,      8.12,     15.16,    327.66,
   20.2655,      8.12,     20.48,    327.66,
   20.3072,      8.13,     62.59,    327.66,
   20.3489,      8.15,     71.92,    327.66,
   20.3907,      8.15,     70.41,    327.66,
   20.4323,      8.16,     70.44,    327.66,
   20.4739,      8.16,     70.56,    327.66,
   20.5156,      8.17,     71.90,    327.66,
   20.5575,      8.17,     71.06,    327.66,
   20.5990,      8.17,     69.89,    327.66,
   20.6409,      8.18,     70.66,    327.66,
   20.6826,      8.18,     70.42,    327.66,
   20.7242,      8.18,     70.37,    327.66,
   20.7661,      8.19,     71.08,    327.66,
   20.8075,      8.19,     70.88,    327.66,
   20.8493,      8.19,     70.06,    327.66,
   20.8912,      8.20,     69.38,    327.66,
   20.9328,      8.20,     69.67,    327.66,
   20.9746,      8.20,     57.11,    327.66,
   21.0163,      8.20,     57.67,    327.66,
   21.0577,      8.21,     66.12,    327.66,
   21.0995,      8.21,     74.45,    327.66,
   21.1413,      8.22,     67.56,    327.66,
   21.1831,      8.23,     71.36,    327.66,
   21.2247,      8.24,     70.13,    327.66,
   21.2664,      8.24,     68.67,    327.66,
   21.3079,      8.25,     70.73,    327.66,
   21.3499,      8.24,     69.15,    327.66,
   21.3915,      8.24,     61.58,    327.66,
   21.4333,      8.23,     60.09,    327.66,
   21.4749,      8.22,     59.23,    327.66,
   21.5168,      8.22,     48.97,    327.66,
   21.5583,      8.21,     52.27,    327.66,
   21.5999,      8.20,     71.26,    327.66,
   21.6417,      8.19,     70.97,    327.66,
   21.6835,      8.19,     70.64,    327.66,
   21.7249,      8.19,     70.14,    327.66,
   21.7667,      8.18,     72.10,    327.66,
   21.8084,      8.18,     85.41,    327.66,
   21.8501,      8.18,     91.60,    327.66,
   21.8919,      8.18,     87.60,    327.66,
   21.9336,      8.18,     89.27,    327.66,
   21.9752,      8.19,     64.91,    327.66,
   22.0169,      8.19,     61.26,    327.66,
   22.0585,      8.18,     25.19,    327.66,
   22.1005,      8.18,     20.47,    327.66,
   22.1420,      8.18,     21.54,    327.66,
   22.1837,      8.18,     24.53,    327.66,
   22.2256,      8.19,     27.96,    327.66,
   22.2673,      8.19,     27.67,    327.66,
   22.3091,      8.19,     53.34,    327.66,
   22.3507,      8.20,     51.49,    327.66,
   22.3924,      8.20,     46.11,    327.66,
   22.4342,      8.20,     50.12,    327.66,
   22.4758,      8.20,     53.50,    327.66,
   22.5176,      8.20,     45.34,    327.66,
   22.5591,      8.20,     46.84,    327.66,
   22.6007,      8.19,     50.30,    327.66,
   22.6425,      8.19,     51.95,    327.66,
   22.6843,      8.19,     52.28,    327.66,
   22.7258,      8.19,     52.19,    327.66,
   22.7676,      8.19,     31.30,    327.66,
   22.8093,      8.18,     27.73,    327.66,
   22.8509,      8.18,     30.32,    327.66,
   22.8928,      8.18,     27.05,    327.66,
   22.9344,      8.18,     27.10,    327.66,
   22.9762,      8.18,     27.84,    327.66,
   23.0178,      8.18,     27.74,    327.66,
   23.0595,      8.18,     27.89,    327.66,
   23.1011,      8.18,     29.76,    327.66,
   23.1428,      8.18,     31.56,    327.66,
   23.1846,      8.18,     28.18,    327.66,
   23.2261,      8.19,     28.06,    327.66,
   23.2679,      8.19,     28.32,    327.66,
   23.3098,      8.19,     39.52,    327.66,
   23.3513,      8.19,     38.90,    327.66,
   23.3930,      8.20,     38.74,    327.66,
   23.4347,      8.20,     38.42,    327.66,
   23.4766,      8.21,     39.41,    327.66,
   23.5180,      8.21,     43.06,    327.66,
   23.5598,      8.21,     39.79,    327.66,
   23.6016,      8.22,     43.28,    327.66,
   23.6431,      8.22,     41.87,    327.66,
   23.6848,      8.23,     39.02,    327.66,
   23.7267,      8.23,     40.57,    327.66,
   23.7684,      8.24,     44.44,    327.66,
   23.8102,      8.24,     48.58,    327.66,
   23.8516,      8.24,     42.38,    327.66,
   23.8934,      8.25,     38.94,    327.66,
   23.9351,      8.25,     40.79,    327.66,
   23.9770,      8.25,     27.79,    327.66,
   24.0189,      8.25,     27.83,    327.66,
   24.0607,      8.25,     27.62,    327.66,
   24.1020,      8.25,     28.29,    327.66,
   24.1435,      8.26,     28.18,    327.66,
   24.1858,      8.26,     28.32,    327.66,
   24.2270,      8.26,     27.81,    327.66,
   24.2692,      8.26,     27.59,    327.66,
   24.3108,      8.26,     28.82,    327.66,
   24.3524,      8.26,     33.70,    327.66,
   24.3940,      8.26,      9.15,    327.66,
   24.4355,      8.26,      0.40,    327.66,
   24.4774,      8.26,      0.40,    327.66,
   24.5192,      8.26,      0.40,    327.66,
   24.5608,      8.26,      0.94,    327.66,
   24.6027,      8.26,      2.32,    327.66,
   24.6446,      8.27,     25.33,    327.66,
   24.6856,      8.27,     26.70,    327.66,
   24.7277,      8.27,     26.90,    327.66,
   24.7695,      8.27,     26.73,    327.66,
   24.8112,      8.27,     27.99,    327.66,
   24.8528,      8.27,     27.36,    327.66,
   24.8945,      8.27,     27.14,    327.66,
   24.9364,      8.27,     27.69,    327.66,
   24.9778,      8.27,     24.69,    327.66,
   25.0195,      8.27,     27.04,    327.66,
   25.0615,      8.27,     26.32,    327.66,
   25.1031,      8.28,     27.48,    327.66,
   25.1445,      8.28,     27.38,    327.66,
   25.1865,      8.28,     26.94,    327.66,
   25.2280,      8.28,     27.75,    327.66,
   25.2695,      8.28,     27.83,    327.66,
   25.3115,      8.28,     27.32,    327.66,
   25.3531,      8.27,     27.38,    327.66,
   25.3951,      8.27,     27.56,    327.66,
   25.4365,      8.27,     27.64,    327.66,
   25.4782,      8.27,     27.45,    327.66,
   25.5200,      8.27,     28.71,    327.66,
   25.5615,      8.28,     50.05,    327.66,
   25.6032,      8.28,     49.91,    327.66,
   25.6450,      8.27,     49.62,    327.66,
   25.6865,      8.27,     49.82,    327.66,
   25.7283,      8.28,     54.70,    327.66,
   25.7699,      8.28,     85.72,    327.66,
   25.8117,      8.29,    109.55,    327.66,
   25.8532,      8.29,    110.81,    327.66,
   25.8950,      8.30,    101.33,    327.66,
   25.9368,      8.30,     90.90,    327.66,
   25.9789,      8.29,     17.89,    327.66,
   26.0202,      8.29,     13.88,    327.66,
   26.0622,      8.29,     14.07,    327.66,
   26.1036,      8.28,     13.71,    327.66,
   26.1452,      8.28,     13.45,    327.66,
   26.1872,      8.27,     13.43,    327.66,
   26.2286,      8.27,     13.56,    327.66,
   26.2708,      8.27,     14.88,    327.66,
   26.3119,      8.29,     37.80,    327.66,
   26.3538,      8.29,     38.74,    327.66,
   26.3957,      8.29,     38.92,    327.66,
   26.4374,      8.29,     38.90,    327.66,
   26.4788,      8.29,     44.02,    327.66,
   26.5205,      8.29,     45.76,    327.66,
   26.5625,      8.29,     47.46,    327.66,
   26.6039,      8.30,     45.34,    327.66,
   26.6458,      8.30,     48.63,    327.66,
   26.6874,      8.30,     55.84,    327.66,
   26.7292,      8.30,     67.73,    327.66,
   26.7707,      8.31,    102.83,    327.66,
   26.8125,      8.31,    101.35,    327.66,
   26.8544,      8.30,     30.10,    327.66,
   26.8958,      8.30,     27.59,    327.66,
   26.9378,      8.31,     27.42,    327.66,
