 Branch:,           3 , # of structures:,           3 , outlet temperatures
      JDAY,      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,
    9.0899,      8.19,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.1320,      8.18,    -99.00,    -99.00,      5.77,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.1733,      8.18,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.2150,      8.17,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.2570,      8.16,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.2990,      8.15,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.3407,      8.15,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.3819,      8.14,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.4235,      8.13,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.4653,      8.12,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.5074,      8.11,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.5487,      8.10,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.5907,      8.10,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.6324,      8.09,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.6737,      8.09,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.7156,      8.08,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.7573,      8.07,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.7991,      8.07,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.8405,      8.06,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.8824,      8.06,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.9239,      8.05,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
    9.9657,      8.05,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.0077,      8.04,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.0490,      8.04,    -99.00,    -99.00,      5.77,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.0909,      8.03,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.1327,      8.03,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.1747,      8.03,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.2160,      8.03,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.2580,      8.02,    -99.00,    -99.00,      5.77,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.2993,      8.02,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.3413,      8.02,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.3827,      8.02,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.4247,      8.02,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.4660,      8.02,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.5076,      8.02,      8.35,    -99.00,      5.70,      0.05,      0.00,    301.90,    340.05,    368.81,
   10.5497,      8.02,      8.35,    -99.00,      5.72,      0.04,      0.00,    301.90,    340.05,    368.81,
   10.5917,      8.02,      8.35,    -99.00,      5.66,      0.07,      0.00,    301.90,    340.05,    368.81,
   10.6328,      8.01,      8.35,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.6747,      8.01,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.7167,      8.01,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.7583,      8.01,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.7997,      8.01,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.8417,      8.01,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.8833,      8.01,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.9247,      8.00,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   10.9665,      8.00,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.0083,      8.00,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.0503,      8.00,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.0914,      8.00,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.1333,      8.00,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.1753,      7.99,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.2172,      7.99,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.2583,      7.99,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.3003,      7.99,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.3419,      7.99,    -99.00,    -99.00,      5.73,      0.00,      0.00,    301.90,    340.05,    368.81,
   11.3836,      7.99,    -99.00,    -99.00,      5.75,      0.00,      0.00,    301.90,    340.05,    368.81,
