$WITHDRAWAL AT SEG52                                         ELEV OF WITHDRAWAL CENTERLINE:644.     

JDAY,T(C)
   100.438,    7.02
   100.482,    7.02
   100.526,    7.02
   100.565,    7.02
   100.608,    7.02
   100.651,    7.02
   100.691,    7.02
   100.731,    7.02
   100.772,    7.02
   100.816,    7.02
   100.859,    7.02
   100.902,    7.02
   100.944,    7.02
   100.982,    7.02
   101.027,    7.02
   101.068,    7.02
   101.105,    7.02
   101.147,    7.03
   101.189,    7.03
   101.230,    7.03
   101.278,    7.03
   101.319,    7.03
   101.360,    7.04
   101.403,    7.04
   101.441,    7.04
   101.479,    7.04
   101.522,    7.05
   101.564,    7.05
   101.605,    7.05
   101.647,    7.05
   101.689,    7.05
   101.730,    7.05
   101.773,    7.06
   101.814,    7.06
   101.855,    7.06
   101.897,    7.06
   101.939,    7.06
   101.981,    7.06
   102.023,    7.06
   102.065,    7.05
   102.106,    7.05
   102.148,    7.05
   102.191,    7.05
   102.231,    7.05
   102.274,    7.05
   102.316,    7.05
   102.355,    7.05
   102.399,    7.05
   102.438,    7.05
   102.484,    7.05
   102.524,    7.05
   102.567,    7.05
   102.607,    7.05
   102.647,    7.06
   102.692,    7.06
   102.733,    7.06
   102.775,    7.06
   102.818,    7.06
   102.858,    7.06
   102.901,    7.06
   102.940,    7.06
   102.980,    7.05
   103.022,    7.06
   103.066,    7.06
   103.106,    7.06
   103.149,    7.06
   103.191,    7.07
   103.230,    7.07
   103.272,    7.07
   103.313,    7.07
   103.357,    7.07
   103.403,    7.06
   103.444,    7.06
   103.484,    7.06
   103.525,    7.06
   103.566,    7.06
   103.606,    7.06
   103.647,    7.06
   103.688,    7.06
   103.735,    7.06
   103.774,    7.06
   103.813,    7.06
   103.854,    7.06
   103.897,    7.05
   103.939,    7.05
   103.981,    7.05
   104.024,    7.05
   104.064,    7.05
   104.105,    7.05
   104.147,    7.04
   104.195,    7.04
   104.232,    7.04
   104.272,    7.04
   104.314,    7.04
   104.355,    7.04
   104.397,    7.04
   104.439,    7.04
   104.480,    7.03
   104.522,    7.03
   104.563,    7.03
   104.611,    7.03
   104.651,    7.03
   104.692,    7.04
   104.733,    7.04
   104.776,    7.04
   104.819,    7.04
   104.854,    7.05
   104.899,    7.05
   104.938,    7.05
   104.985,    7.05
   105.027,    7.05
   105.063,    7.05
   105.105,    7.05
   105.147,    7.05
   105.189,    7.05
   105.231,    7.05
   105.272,    7.06
   105.315,    7.06
   105.358,    7.06
   105.402,    7.06
   105.442,    7.06
   105.483,    7.06
   105.522,    7.06
   105.567,    7.07
   105.608,    7.07
   105.650,    7.07
   105.692,    7.07
   105.731,    7.07
   105.772,    7.07
   105.816,    7.07
   105.859,    7.07
   105.898,    7.07
   105.943,    7.07
   105.984,    7.07
   106.026,    7.07
   106.068,    7.07
   106.109,    7.06
   106.151,    7.06
   106.193,    7.06
   106.235,    7.06
   106.277,    7.06
   106.319,    7.06
   106.360,    7.06
   106.403,    7.06
   106.445,    7.06
   106.485,    7.06
   106.527,    7.06
   106.569,    7.06
   106.609,    7.06
   106.651,    7.07
   106.693,    7.07
   106.734,    7.07
   106.775,    7.07
   106.813,    7.07
   106.858,    7.07
   106.898,    7.07
   106.939,    7.07
   106.980,    7.08
   107.025,    7.08
   107.065,    7.08
   107.104,    7.08
   107.151,    7.08
   107.194,    7.08
   107.234,    7.08
   107.276,    7.08
   107.318,    7.08
   107.360,    7.08
   107.402,    7.08
   107.443,    7.08
   107.483,    7.08
   107.526,    7.08
   107.565,    7.08
   107.605,    7.08
   107.647,    7.08
   107.689,    7.08
   107.730,    7.07
   107.773,    7.07
   107.816,    7.07
   107.856,    7.07
   107.904,    7.06
   107.942,    7.06
   107.983,    7.06
   108.022,    7.06
   108.064,    7.06
   108.109,    7.06
   108.149,    7.06
   108.192,    7.06
   108.235,    7.06
   108.278,    7.06
   108.320,    7.06
   108.360,    7.06
   108.401,    7.06
   108.443,    7.06
   108.483,    7.06
   108.521,    7.06
   108.569,    7.06
   108.606,    7.06
   108.648,    7.06
   108.689,    7.06
   108.736,    7.06
   108.778,    7.06
   108.815,    7.07
   108.854,    7.07
   108.897,    7.07
   108.939,    7.07
   108.980,    7.07
   109.022,    7.07
   109.065,    7.06
   109.112,    7.06
   109.150,    7.06
   109.189,    7.06
   109.230,    7.06
   109.276,    7.06
   109.318,    7.06
   109.358,    7.06
   109.398,    7.06
   109.441,    7.06
   109.479,    7.06
   109.522,    7.06
   109.563,    7.06
   109.610,    7.06
   109.649,    7.06
   109.688,    7.06
   109.730,    7.07
   109.774,    7.07
   109.815,    7.07
   109.854,    7.08
   109.901,    7.08
   109.943,    7.08
   109.984,    7.08
   110.027,    7.09
   110.069,    7.09
   110.107,    7.09
   110.151,    7.09
   110.188,    7.09
   110.234,    7.09
   110.273,    7.09
   110.315,    7.09
   110.356,    7.09
   110.400,    7.09
   110.441,    7.09
   110.482,    7.09
   110.525,    7.08
   110.563,    7.08
   110.609,    7.09
   110.649,    7.09
   110.691,    7.09
   110.733,    7.09
   110.775,    7.09
   110.814,    7.09
   110.855,    7.09
   110.899,    7.09
   110.941,    7.09
   110.980,    7.09
