JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
    64.468,   929.969,   708.946,     7.291,     0.000,     0.000,   591.654,     0.450,   118.569,  1204.309,     1.000,     7.299,   438.291,   558.164,   252.659,   341.651,    31.854,    -0.973,     0.000,
    64.511,   920.696,   708.947,     7.291,     0.000,     0.000,   632.276,     0.450,   118.570,  1204.309,     1.000,     7.306,   501.858,   596.486,   268.038,   342.393,    32.994,   -12.720,     0.000,
    64.542,   900.884,   708.948,     7.291,     0.000,     0.000,   632.427,     0.450,   118.571,  1204.309,     1.000,     7.311,   499.119,   596.630,   270.421,   343.007,    39.374,   -14.449,     0.000,
    64.593,   878.029,   708.948,     7.291,     0.000,     0.000,   610.424,     0.450,   118.571,  1204.309,     1.000,     7.321,   494.004,   575.872,   280.875,   343.914,    39.558,   -20.730,     0.000,
    64.629,   401.737,   708.949,     7.291,     0.000,     0.000,   282.924,     0.450,   118.572,  1204.309,     1.000,     7.326,   184.325,   266.910,   280.876,   344.446,    40.639,   -21.624,     0.000,
    64.667,   669.284,   708.950,     7.291,     0.000,     0.000,   339.979,     0.450,   118.573,  1204.309,     1.000,     7.330,   243.016,   320.735,   284.043,   344.674,    40.074,   -22.986,     0.000,
    64.719,   912.584,   708.951,     7.291,     0.000,     0.000,   128.513,     0.450,   118.574,  1204.309,     1.000,     7.335,     8.638,   121.239,   268.035,   344.792,    46.368,   -10.524,     0.000,
    64.761,   945.331,   708.952,     7.291,     0.000,     0.000,    11.924,     0.450,   118.575,  1204.309,     1.000,     7.338,  -116.354,    11.249,   258.702,   344.546,    45.364,    -3.605,     0.000,
    64.792,   975.755,   708.952,     7.291,     0.000,     0.000,     2.597,     0.450,   118.575,  1204.309,     1.000,     7.340,  -149.013,     2.450,   246.962,   344.286,    46.084,     8.055,     0.000,
    64.845,  1033.682,   708.953,     7.291,     0.000,     0.000,     0.000,     0.450,   118.576,  1204.309,     1.000,     7.344,  -148.463,     0.000,   243.771,   343.903,    38.925,     9.406,     0.000,
